CellCyclePhase;Mother_Bud;Number_corrected;Volume;Density
G2;bud;29662.21714;7.16864;4137.774688
G2;bud;9682.628571;2.5921;3735.437896
mitosis;bud;46610.53714;7.68522;6064.958081
G2;bud;6406.902857;2.42512;2641.891064
G2;bud;23576.29714;4.7219;4992.968327
mitosis;bud;66247.88571;10.54412;6282.922208
mitosis;bud;35839.54286;6.9943;5124.107181
late S;bud;3647.725714;0.86296;4226.992809
G2;bud;4542.651429;6.24036;727.947014
mitosis;bud;51750.51429;11.39374;4542.01292
mitosis;bud;69876.48;12.75626;5477.818734
mitosis;bud;32759.38286;6.4308;5094.138032
mitosis;bud;53438.33143;7.64428;6990.629782
G2;mother;285985.0971;61.48268;4651.474157
G2;mother;140397.0514;22.44524;6255.092457
mitosis;mother;238690.08;31.85868;7492.152217
G2;mother;400361.28;61.48038;6512.017004
G2;mother;461783.7943;62.73848;7360.455565
mitosis;mother;222351.84;29.509;7535.051679
mitosis;mother;297168.48;37.14638;7999.931083
late S;mother;173362.6286;33.54274;5168.409873
G2;mother;375694.4914;54.418;6903.864373
mitosis;mother;299897.8971;53.82644;5571.572208
mitosis;mother;205216.4571;36.92972;5556.945927
mitosis;mother;150825.8057;21.8477;6903.509555
G2;mother;405928.5257;43.6977;9289.471201
mitosis;mother;219752.0914;27.54756;7977.188957
G2;whole cell;315647.3143;68.65132;4597.833141
G1;whole cell;162680.9143;27.01994;6020.772596
G2;whole cell;150079.68;25.03734;5994.234212
mitosis;whole cell;285300.6171;39.5439;7214.78198
G1;whole cell;200089.2343;31.00216;6454.041728
G2;whole cell;406768.1829;63.9055;6365.151401
G1;whole cell;114289.0286;21.57676;5296.857757
G2;whole cell;485360.0914;67.46038;7194.742921
G1;whole cell;69243.01714;11.1297;6221.463035
mitosis;whole cell;288599.7257;40.05312;7205.424339
mitosis;whole cell;333008.0229;44.14068;7544.243153
late S;whole cell;177010.3543;34.4057;5144.797353
G2;whole cell;380237.1429;60.65836;6268.503515
G1;whole cell;101485.8514;19.02422;5334.560441
mitosis;whole cell;351648.4114;65.22018;5391.711759
mitosis;whole cell;275092.9371;49.68598;5536.631
G1;whole cell;187300.9371;24.20888;7736.869163
mitosis;whole cell;183585.1886;28.2785;6492.041253
G2;whole cell;405928.5257;43.6977;9289.471201
G1;whole cell;313056.0686;29.70956;10537.21659
mitosis;whole cell;273190.4229;35.19184;7762.891138
G1;whole cell;119358.8571;17.66446;6757.005713
