,Unbleached,BG,Cell3,Cell4,Cell5,Cell6,Cell8
1,1311.536,1036.56,1390.56,1359.04,1539.28,1533.76,1356.72
2,1302.77733333333,1042.88,1391.2,1350.96,1536.24,1503.2,1349.28
3,1301.38233333333,1047.44,1120.24,1132.8,1194.64,1132.48,1212.96
4,1295.703,1041.52,1257.2,1171.76,1307.44,1279.2,1170.8
5,1286.98366666667,1029.6,1228.24,1220.8,1353.76,1257.04,1312.4
6,1289.06166666667,1053.12,1205.28,1163.12,1276.64,1196.48,1224.88
7,1283.42733333333,1044.56,1279.92,1163.28,1329.12,1309.44,1231.12
8,1281.61533333333,1066.24,1236.8,1171.44,1316.56,1279.76,1218
9,1279.80666666667,1034.16,1349.2,1218.16,1334.32,1273.76,1209.84
10,1271.75433333333,1044.08,1278.64,1192.64,1291.44,1390.72,1243.36
11,1271.21733333333,1036,1286.4,1229.36,1305.44,1309.28,1237.92
12,1264.54566666667,1027.68,1271.6,1237.68,1361.28,1380.8,1200.16
13,1265.19333333333,1045.44,1253.6,1237.04,1345.04,1343.36,1161.68
14,1262.98,1054.64,1248.48,1242.08,1325.84,1314.72,1218
15,1266.195,1060.8,1270.08,1258.48,1381.04,1336.4,1244.08
16,1259.791,1044.96,1291.6,1258.24,1322.88,1343.04,1275.52
17,1258.53833333333,1049.92,1252.32,1274.16,1331.6,1364.24,1240.88
18,1254.42533333333,1026.48,1278.8,1260.4,1306.72,1288,1287.28
19,1255.90366666667,1032.08,1254.96,1249.28,1337.52,1332.96,1246.16
20,1256.58333333333,1026,1286.24,1232,1333.44,1369.04,1245.12
21,1248.087,1043.76,1283.76,1230.8,1324.56,1394,1235.44
22,1248.461,1051.76,1270.16,1248.16,1286,1304.96,1214.56
23,1245.128,1057.44,1279.92,1251.92,1350.64,1340.16,1235.68
24,1243.44866666667,1069.6,1263.44,1237.36,1317.2,1312.56,1252.16
25,1243.69266666667,1029.28,1263.76,1238.4,1310.56,1382.96,1318.88
26,1244.08933333333,1051.2,1296.72,1276.48,1311.28,1385.44,1296
27,1236.408,1045.52,1291.52,1205.2,1293.52,1369.2,1256.24
28,1242.24833333333,1031.36,1320.88,1229.12,1280.16,1351.6,1265.92
29,1242.183,1033.92,1310.4,1308.88,1308.8,1407.44,1258.24
30,1243.54666666667,1056.08,1252.16,1303.68,1324.56,1397.76,1273.84
31,1240.29166666667,1038.48,1262.08,1283.28,1265.68,1370.88,1293.76
32,1247.41766666667,1031.12,1272.08,1266.8,1256.4,1112.96,1256.8
33,1243.33466666667,1044,1286.96,1265.84,1285.28,1397.2,1264.64
34,1244.21066666667,1052.88,1314.48,1249.84,1305.68,1370.08,1229.36
35,1237.608,1043.52,1292,1247.12,1312.24,1388.16,1267.36
36,1243.86366666667,1054.72,1302.88,1253.92,1312.64,1419.2,1266.24
37,1237.44033333333,1068.8,1328.08,1280.56,1286,1401.84,1288.72
38,1239.66766666667,1032.48,1270.72,1308.4,1227.12,1436.08,1289.84
39,1230.90933333333,1036.88,1287.68,1276.4,1252.72,1416.56,1286.88
40,1230.54233333333,1019.52,1260.64,1255.04,1327.84,1404.72,1325.68
41,1232.58133333333,1052.72,1284.4,1263.52,1232.64,1385.52,1251.28
42,1236.203,1058,1356.64,1304.32,1206.88,1461.12,1276.4
43,1235.05433333333,1036.8,1359.76,1293.76,1275.52,1431.76,1227.44
44,1231.27666666667,1046.56,1313.92,1318.4,1255.44,1446.08,1258.96
45,1234.34933333333,1036.64,1330.8,1290.08,1312.72,1453.2,1246.8
46,1231.00266666667,1033.12,1349.52,1272.4,1246.08,1359.12,1229.6
47,1231.56233333333,1026.96,1302.32,1318.96,1279.76,1350.56,1327.28
48,1231.36633333333,1042.56,1309.04,1315.36,1283.28,1425.36,1307.6
49,1236.97366666667,1038.64,1323.2,1290.8,1359.04,1394.56,1343.6
50,1233.13633333333,1040.24,1337.6,1307.6,1299.44,1380.64,
51,1236.31566666667,1054.32,1361.6,1305.12,1265.2,1444.96,
52,1231.39133333333,1048.16,1347.2,1333.68,1307.12,1364.72,
53,1232.97133333333,1046.32,1322.64,1304,1280.72,,
54,1240.88233333333,1047.84,1301.84,1290.16,,,
55,1237.53566666667,1047.28,,,,,
56,1237.23833333333,1053.68,,,,,
57,1240.47933333333,1059.76,,,,,
58,1232.52666666667,1048.88,,,,,
59,1233.691,1044.56,,,,,
60,1235.76533333333,1032.8,,,,,
