Distance,Intensity Ch1
0,38143
0.075,38143
0.15,36092
0.225,37657
0.3,37726
0.375,38306
0.45,38716
0.525,36276
0.6,35803
0.675,33147
0.75,32997
0.825,32701
0.9,32679
0.975,34329
1.05,35242
1.125,34878
1.2,34494
1.275,34266
1.35,31238
1.424,31176
1.499,28801
1.574,28386
1.649,28782
1.724,33305
1.799,32390
1.874,36962
1.949,37225
2.024,36807
2.099,36949
2.174,36367
2.249,35409
2.324,36344
2.399,36592
2.474,36787
2.549,37632
2.624,39334
2.699,39448
2.774,40740
2.849,41557
2.924,39538
2.999,40058
3.074,42528
3.149,41335
3.224,40181
3.299,41076
3.374,38640
3.449,36081
3.524,33447
3.599,30979
3.674,29772
3.749,29664
3.824,31803
3.899,33653
3.974,35431
4.049,38817
4.124,37830
4.198,37896
4.273,40130
4.348,39556
4.423,40002
4.498,38326
4.573,35471
4.648,35570
4.723,33700
4.798,34617
4.873,37066
4.948,37286
5.023,37020
5.098,38597
5.173,37314
5.248,36850
5.323,37336
5.398,39277
5.473,37510
5.548,35433
5.623,36440
5.698,37981
5.773,38665
5.848,38922
5.923,37965
5.998,37232
6.073,34863
6.148,32822
6.223,31366
6.298,32142
6.373,34502
6.448,36688
6.523,38824
6.598,39584
6.673,37937
6.748,37252
6.823,37801
6.898,36123
6.972,36823
7.047,37774
7.122,37886
7.197,38637
7.272,39787
7.347,39710
7.422,39324
7.497,39237
7.572,40040
7.647,39747
7.722,39612
7.797,38540
7.872,38020
7.947,36318
8.022,33838
8.097,34176
8.172,36446
8.247,37601
8.322,39388
8.397,37962
8.472,38233
8.547,37049
8.622,36108
8.697,34101
8.772,33250
8.847,34021
8.922,37191
8.997,37944
9.072,39373
9.147,37639
9.222,38156
9.297,39016
9.372,39189
9.447,40035
9.522,40218
9.597,38710
9.671,39279
9.746,38719
9.821,38606
9.896,36972
9.971,36959
10.046,38447
10.121,38523
10.196,38686
10.271,37227
10.346,35955
10.421,32479
10.496,29357
10.571,29755
10.646,31173
10.721,35053
10.796,37143
10.871,40572
10.946,38572
11.021,38007
11.096,41457
11.171,42957
11.246,41055
11.321,40583
11.396,40479
11.471,38704
11.546,37153
11.621,37470
11.696,39466
11.771,39491
11.846,40056
11.921,39923
11.996,38632
12.071,39201
12.146,39820
12.221,40097
12.296,39391
12.371,38173
12.445,36175
12.52,34804
12.595,33607
12.67,35096
12.745,36658
12.82,36873
12.895,36186
12.97,33870
13.045,31726
13.12,31197
13.195,31897
13.27,32862
13.345,35849
13.42,37669
13.495,37114
13.57,37459
13.645,39160
13.72,39569
13.795,37394
13.87,38889
13.945,37145
14.02,36183
14.095,38447
14.17,38440
14.245,38682
14.32,39354
14.395,41462
14.47,40482
14.545,40693
14.62,39661
14.695,38932
14.77,38203
14.845,37454
14.92,36519
14.995,37229
15.07,38337
15.145,38212
15.219,39123
15.294,36511
15.369,36124
15.444,36296
15.519,34863
15.594,32571
15.669,31393
15.744,31693
15.819,31117
15.894,31934
15.969,34083
16.044,35951
16.119,37101
16.194,37559
16.269,39729
16.344,39237
16.419,37864
16.494,37912
16.569,37604
16.644,36061
16.719,33988
16.794,33819
16.869,34436
16.944,34474
17.019,36812
17.094,36548
17.169,37124
17.244,38504
17.319,39689
17.394,40148
17.469,40277
17.544,41414
17.619,40971
17.694,39584
17.769,39123
17.844,39994
17.919,40322
17.993,42641
18.068,42985
18.143,42457
18.218,42466
18.293,41423
18.368,42035
18.443,40928
18.518,39846
18.593,37922
18.668,36185
18.743,34370
18.818,30077
18.893,28434
18.968,28026
19.043,29699
19.118,32937
19.193,33718
19.268,33031
19.343,32391
19.418,29635
19.493,28135
19.568,28365
19.643,30976
19.718,33567
19.793,36500
19.868,35763
19.943,37824
20.018,36895
20.093,34981
20.168,32957
20.243,32921
20.318,35462
20.393,37165
20.468,38288
20.543,39330
20.618,38639
20.693,36330
20.767,33273
20.842,30288
20.917,28789
20.992,30711
21.067,32164
21.142,32485
21.217,32692
21.292,32632
21.367,35783
21.442,36116
21.517,35330
21.592,35079
21.667,35695
21.742,37270
21.817,39265
21.892,40266
21.967,41835
22.042,41145
22.117,40224
22.192,41188
22.267,39057
22.342,37942
22.417,36007
